CODIGO;CODIGO_BARRA_PRODUTO;DESCRICAO_PRODUTO;PRECO_VENDA_PRODUTO
383;7890000003834;SIZER MINI    MINI    140    cc;1
384;7890000003841;SIZER MINI    MINI    150    cc;1
385;7890000003858;SIZER MINI    MINI    160    cc;1
386;7890000003865;SIZER MINI    MINI    170    cc;1
387;7890000003872;SIZER MINI    MINI    185    cc;1
388;7890000003889;SIZER MINI    MINI    205    cc;1
389;7890000003896;SIZER MINI    MINI    220    cc;1
390;7890000003902;SIZER MINI    MINI    230    cc;1
391;7890000003919;SIZER MINI    MINI    245    cc;1
392;7890000003926;SIZER MINI    MINI    260    cc;1
393;7890000003933;SIZER MINI    MINI    275    cc;1
394;7890000003940;SIZER MINI    MINI    290    cc;1
395;7890000003957;SIZER MINI    MINI    310    cc;1
396;7890000003964;SIZER MINI    MINI    360    cc;1
397;7890000003971;SIZER MINI    MINI    400    cc;1
398;7890000003988;SIZER MINI    MINI    430    cc;1
399;7890000003995;SIZER MINI    MINI    475    cc;1
400;7890000004008;SIZER MINI    MINI    525    cc;1
404;7890000004046;POTE 220 ML CRISTAL;
406;7890000004060;POTE 220ML - CRISTAL;1,12
405;7890000004053;TAMPA FLIP TOP ROSA;0,21
407;7890000004077;TAMPA FLIP TOP - ROSA R;0,42
410;7890000004107;IMPLANT GLUTEAL - DEMI WITH QID 465 CC - S;1
411;7890000004114;IMPLANT GLUTEAL - DEMI WITH QID 375 CC - S;1
412;7890000004121;IMPLANT GLUTEAL - DEMI WITH QID 305 CC - SS;1
413;7890000004138;IMPLANT GLUTEAL - DEMI WITH QID 235 CC - S;1
414;7890000004145;IMPLANT GLUTEAL - DEMI  465 CC - S;1
415;7890000004152;IMPLANT GLUTEAL - DEMI  375 CC - S;1
416;7890000004169;IMPLANT GLUTEAL - DEMI  235 CC - S;1
417;7890000004176;IMPLANT GLUTEAL - DEMI  305 CC - SS;1
418;7890000004183;IMPLANT GLUTEAL - FULL WITH QID 365 CC - S;1
419;7890000004190;IMPLANT GLUTEAL - FULL WITH QID 285 CC - S;1
420;7890000004206;IMPLANT GLUTEAL - FULL WITH QID 455 CC - S;1
421;7890000004213;IMPLANT GLUTEAL - FULL WITH QID 555 CC - S;1
422;7890000004220;IMPLANT GLUTEAL - FULL 455 CC - S;1
423;7890000004237;IMPLANT GLUTEAL - FULL 365 CC - S;1
424;7890000004244;IMPLANT GLUTEAL - FULL 285 CC - S;1
425;7890000004251;IMPLANT GLUTEAL - FULL 555 CC - S;1
601;7890000006019;CALCA JEANS AZUL;150,3
602;;ACEM;12,99
603;;PALETA;15,99
608;;MALSDFJASF;10
604;;PICANHA;26,8
605;;MUSCULO TRAZEIRO;12,99
606;;PATINHO;17,99
607;;DESCARTE BOVINO;5
