CODIGO;CODIGO_BARRA_PRODUTO;DESCRICAO_PRODUTO;PRECO_VENDA_PRODUTO
86;7890000000864;ERGONOMIX CORSE    CORSE WITH QID - S    280    cc;1
87;7890000000871;ERGONOMIX CORSE    CORSE WITH QID - S    300    cc;1
88;7890000000888;ERGONOMIX CORSE    CORSE WITH QID - S    325    cc;1
89;7890000000895;ERGONOMIX CORSE    CORSE WITH QID - S    350    cc;1
90;7890000000901;ERGONOMIX CORSE    CORSE WITH QID - S    380    cc;1
91;7890000000918;ERGONOMIX CORSE    CORSE WITH QID - S    410    cc;1
92;7890000000925;ERGONOMIX CORSE    CORSE WITH QID - S    440    cc;1
93;7890000000932;ERGONOMIX CORSE    CORSE WITH QID - S    475    cc;1
94;7890000000949;ERGONOMIX CORSE    CORSE WITH QID - S    510    cc;1
95;7890000000956;ERGONOMIX CORSE    CORSE WITH QID - S    550    cc;1
96;7890000000963;ERGONOMIX CORSE    CORSE WITH QID - S    590    cc;1
97;7890000000970;ERGONOMIX CORSE    CORSE WITH QID - S    650    cc;1
98;7890000000987;ERGONOMIX CORSE    CORSE WITH QID - S    725    cc;1
99;7890000000994;ERGONOMIX CORSE    CORSE WITH QID - S    825    cc;1
100;7890000001007;ERGONOMIX CORSE    CORSE WITH QID - S    925    cc;1
101;7890000001014;ERGONOMIX DEMI    DEMI WITH QID  - S    135    cc;1
102;7890000001021;ERGONOMIX DEMI    DEMI WITH QID  - S    155    cc;1
103;7890000001038;ERGONOMIX DEMI    DEMI WITH QID  - S    180    cc;1
104;7890000001045;ERGONOMIX DEMI    DEMI WITH QID  - S    190    cc;1
105;7890000001052;ERGONOMIX DEMI    DEMI WITH QID  - S    205    cc;1
106;7890000001069;ERGONOMIX DEMI    DEMI WITH QID  - S    215    cc;1
107;7890000001076;ERGONOMIX DEMI    DEMI WITH QID  - S    230    cc;1
108;7890000001083;ERGONOMIX DEMI    DEMI WITH QID  - S    245    cc;1
109;7890000001090;ERGONOMIX DEMI    DEMI WITH QID  - S    265    cc;1
110;7890000001106;ERGONOMIX DEMI    DEMI WITH QID  - S    285    cc;1
111;7890000001113;ERGONOMIX DEMI    DEMI WITH QID  - S    300    cc;1
112;7890000001120;ERGONOMIX DEMI    DEMI WITH QID  - S    320    cc;1
113;7890000001137;ERGONOMIX DEMI    DEMI WITH QID  - S    340    cc;1
114;7890000001144;ERGONOMIX DEMI    DEMI WITH QID  - S    360    cc;1
115;7890000001151;ERGONOMIX DEMI    DEMI WITH QID  - S    380    cc;1
116;7890000001168;ERGONOMIX DEMI    DEMI WITH QID  - S    425    cc;1
117;7890000001175;ERGONOMIX DEMI    DEMI WITH QID  - S    425    cc;1
118;7890000001182;ERGONOMIX DEMI    DEMI WITH QID  - S    525    cc;1
119;7890000001199;ERGONOMIX DEMI    DEMI WITH QID  - S    575    cc;1
120;7890000001205;ERGONOMIX DEMI    DEMI WITH QID  - S    625    cc;1
121;7890000001212;ERGONOMIX FULL    FULL WITH QID - S    145    cc;1
122;7890000001229;ERGONOMIX FULL    FULL WITH QID - S    175    cc;1
123;7890000001236;ERGONOMIX FULL    FULL WITH QID - S    205    cc;1
124;7890000001243;ERGONOMIX FULL    FULL WITH QID - S    220    cc;1
125;7890000001250;ERGONOMIX FULL    FULL WITH QID - S    235    cc;1
126;7890000001267;ERGONOMIX FULL    FULL WITH QID - S    255    cc;1
127;7890000001274;ERGONOMIX FULL    FULL WITH QID - S    275    cc;1
128;7890000001281;ERGONOMIX FULL    FULL WITH QID - S    295    cc;1
129;7890000001298;ERGONOMIX FULL    FULL WITH QID - S    315    cc;1
130;7890000001304;ERGONOMIX FULL    FULL WITH QID - S    335    cc;1
131;7890000001311;ERGONOMIX FULL    FULL WITH QID - S    355    cc;1
132;7890000001328;ERGONOMIX FULL    FULL WITH QID - S    375    cc;1
133;7890000001335;ERGONOMIX FULL    FULL WITH QID - S    400    cc;1
134;7890000001342;ERGONOMIX FULL    FULL WITH QID - S    425    cc;1
135;7890000001359;ERGONOMIX FULL    FULL WITH QID - S    450    cc;1
136;7890000001366;ERGONOMIX FULL    FULL WITH QID - S    500    cc;1
137;7890000001373;ERGONOMIX FULL    FULL WITH QID - S    550    cc;1
138;7890000001380;ERGONOMIX FULL    FULL WITH QID - S    625    cc;1
139;7890000001397;ERGONOMIX FULL    FULL WITH QID - S    700    cc;1
140;7890000001403;ERGONOMIX FULL    FULL WITH QID - S    775    cc;1
141;7890000001410;ERGONOMIX MINI    MINI WITH QID - S    105    cc;1
142;7890000001427;ERGONOMIX MINI    MINI WITH QID - S    125    cc;1
143;7890000001434;ERGONOMIX MINI    MINI WITH QID - S    140    cc;1
144;7890000001441;ERGONOMIX MINI    MINI WITH QID - S    150    cc;1
145;7890000001458;ERGONOMIX MINI    MINI WITH QID - S    160    cc;1
146;7890000001465;ERGONOMIX MINI    MINI WITH QID - S    170    cc;1
147;7890000001472;ERGONOMIX MINI    MINI WITH QID - S    185    cc;1
148;7890000001489;ERGONOMIX MINI    MINI WITH QID - S    205    cc;1
149;7890000001496;ERGONOMIX MINI    MINI WITH QID - S    220    cc;1
150;7890000001502;ERGONOMIX MINI    MINI WITH QID - S    230    cc;1
151;7890000001519;ERGONOMIX MINI    MINI WITH QID - S    245    cc;1
152;7890000001526;ERGONOMIX MINI    MINI WITH QID - S    260    cc;1
153;7890000001533;ERGONOMIX MINI    MINI WITH QID - S    275    cc;1
154;7890000001540;ERGONOMIX MINI    MINI WITH QID - S    290    cc;1
155;7890000001557;ERGONOMIX MINI    MINI WITH QID - S    310    cc;1
156;7890000001564;ERGONOMIX MINI    MINI WITH QID - S    360    cc;1
157;7890000001571;ERGONOMIX MINI    MINI WITH QID - S    400    cc;1
158;7890000001588;ERGONOMIX MINI    MINI WITH QID - S    430    cc;1
159;7890000001595;ERGONOMIX MINI    MINI WITH QID - S    475    cc;1
160;7890000001601;ERGONOMIX MINI    MINI WITH QID - S    525    cc;1
161;7890000001618;SAMPLE ROUND CORSE    CORSE - SS    1050    cc;1
162;7890000001625;SAMPLE ROUND CORSE    CORSE - SS+    1050    cc;1
163;7890000001632;SAMPLE ROUND CORSE    CORSE - SS    180    cc;1
164;7890000001649;SAMPLE ROUND CORSE    CORSE - SS+    180    cc;1
165;7890000001656;SAMPLE ROUND CORSE    CORSE - SS    210    cc;1
166;7890000001663;SAMPLE ROUND CORSE    CORSE - SS+    210    cc;1
167;7890000001670;SAMPLE ROUND CORSE    CORSE - SS    240    cc;1
168;7890000001687;SAMPLE ROUND CORSE    CORSE - SS+    240    cc;1
169;7890000001694;SAMPLE ROUND CORSE    CORSE - SS    260    cc;1
170;7890000001700;SAMPLE ROUND CORSE    CORSE - SS+    260    cc;1
171;7890000001717;SAMPLE ROUND CORSE    CORSE - SS    280    cc;1
172;7890000001724;SAMPLE ROUND CORSE    CORSE - SS+    280    cc;1
173;7890000001731;SAMPLE ROUND CORSE    CORSE - SS    300    cc;1
174;7890000001748;SAMPLE ROUND CORSE    CORSE - SS+    300    cc;1
175;7890000001755;SAMPLE ROUND CORSE    CORSE - SS    325    cc;1
176;7890000001762;SAMPLE ROUND CORSE    CORSE - SS+    325    cc;1
177;7890000001779;SAMPLE ROUND CORSE    CORSE - SS    350    cc;1
178;7890000001786;SAMPLE ROUND CORSE    CORSE - SS+    350    cc;1
179;7890000001793;SAMPLE ROUND CORSE    CORSE - SS    380    cc;1
180;7890000001809;SAMPLE ROUND CORSE    CORSE - SS+    380    cc;1
181;7890000001816;SAMPLE ROUND CORSE    CORSE - SS    410    cc;1
182;7890000001823;SAMPLE ROUND CORSE    CORSE - SS+    410    cc;1
183;7890000001830;SAMPLE ROUND CORSE    CORSE - SS    440    cc;1
184;7890000001847;SAMPLE ROUND CORSE    CORSE - SS+    440    cc;1
185;7890000001854;SAMPLE ROUND CORSE    CORSE - SS    475    cc;1
186;7890000001861;SAMPLE ROUND CORSE    CORSE - SS+    475    cc;1
187;7890000001878;SAMPLE ROUND CORSE    CORSE - SS    510    cc;1
188;7890000001885;SAMPLE ROUND CORSE    CORSE - SS+    510    cc;1
189;7890000001892;SAMPLE ROUND CORSE    CORSE - SS    550    cc;1
190;7890000001908;SAMPLE ROUND CORSE    CORSE - SS+    550    cc;1
191;7890000001915;SAMPLE ROUND CORSE    CORSE - SS    590    cc;1
192;7890000001922;SAMPLE ROUND CORSE    CORSE - SS+    590    cc;1
193;7890000001939;SAMPLE ROUND CORSE    CORSE - SS    650    cc;1
194;7890000001946;SAMPLE ROUND CORSE    CORSE - SS+    650    cc;1
195;7890000001953;SAMPLE ROUND CORSE    CORSE - SS    725    cc;1
196;7890000001960;SAMPLE ROUND CORSE    CORSE - SS+    725    cc;1
197;7890000001977;SAMPLE ROUND CORSE    CORSE - SS    825    cc;1
198;7890000001984;SAMPLE ROUND CORSE    CORSE - SS+    825    cc;1
199;7890000001991;SAMPLE ROUND CORSE    CORSE - SS    925    cc;1
200;7890000002004;SAMPLE ROUND CORSE    CORSE - SS+    925    cc;1
201;7890000002011;SAMPLE ROUND DEMI    DEMI - SS    135    cc;1
202;7890000002028;SAMPLE ROUND DEMI    DEMI - SS+    135    cc;1
203;7890000002035;SAMPLE ROUND DEMI    DEMI - SS    155    cc;1
204;7890000002042;SAMPLE ROUND DEMI    DEMI - SS+    155    cc;1
205;7890000002059;SAMPLE ROUND DEMI    DEMI - SS    180    cc;1
206;7890000002066;SAMPLE ROUND DEMI    DEMI - SS+    180    cc;1
207;7890000002073;SAMPLE ROUND DEMI    DEMI - SS    190    cc;1
208;7890000002080;SAMPLE ROUND DEMI    DEMI - SS+    190    cc;1
209;7890000002097;SAMPLE ROUND DEMI    DEMI - SS    205    cc;1
210;7890000002103;SAMPLE ROUND DEMI    DEMI - SS+    205    cc;1
211;7890000002110;SAMPLE ROUND DEMI    DEMI - SS    215    cc;1
212;7890000002127;SAMPLE ROUND DEMI    DEMI - SS+    215    cc;1
213;7890000002134;SAMPLE ROUND DEMI    DEMI - SS    230    cc;1
214;7890000002141;SAMPLE ROUND DEMI    DEMI - SS+    230    cc;1
215;7890000002158;SAMPLE ROUND DEMI    DEMI - SS    245    cc;1
216;7890000002165;SAMPLE ROUND DEMI    DEMI - SS+    245    cc;1
217;7890000002172;SAMPLE ROUND DEMI    DEMI - SS    265    cc;1
218;7890000002189;SAMPLE ROUND DEMI    DEMI - SS+    265    cc;1
219;7890000002196;SAMPLE ROUND DEMI    DEMI - SS    285    cc;1
220;7890000002202;SAMPLE ROUND DEMI    DEMI - SS+    285    cc;1
221;7890000002219;SAMPLE ROUND DEMI    DEMI - SS    300    cc;1
222;7890000002226;SAMPLE ROUND DEMI    DEMI - SS+    300    cc;1
223;7890000002233;SAMPLE ROUND DEMI    DEMI - SS    320    cc;1
224;7890000002240;SAMPLE ROUND DEMI    DEMI - SS+    320    cc;1
225;7890000002257;SAMPLE ROUND DEMI    DEMI - SS    340    cc;1
226;7890000002264;SAMPLE ROUND DEMI    DEMI - SS+    340    cc;1
227;7890000002271;SAMPLE ROUND DEMI    DEMI - SS    360    cc;1
228;7890000002288;SAMPLE ROUND DEMI    DEMI - SS+    360    cc;1
229;7890000002295;SAMPLE ROUND DEMI    DEMI - SS    380    cc;1
230;7890000002301;SAMPLE ROUND DEMI    DEMI - SS+    380    cc;1
231;7890000002318;SAMPLE ROUND DEMI    DEMI - SS    425    cc;1
232;7890000002325;SAMPLE ROUND DEMI    DEMI - SS+    425    cc;1
233;7890000002332;SAMPLE ROUND DEMI    DEMI - SS    475    cc;1
234;7890000002349;SAMPLE ROUND DEMI    DEMI - SS+    475    cc;1
235;7890000002356;SAMPLE ROUND DEMI    DEMI - SS    525    cc;1
236;7890000002363;SAMPLE ROUND DEMI    DEMI - SS+    525    cc;1
237;7890000002370;SAMPLE ROUND DEMI    DEMI - SS    575    cc;1
238;7890000002387;SAMPLE ROUND DEMI    DEMI - SS+    575    cc;1
239;7890000002394;SAMPLE ROUND DEMI    DEMI - SS    625    cc;1
240;7890000002400;SAMPLE ROUND DEMI    DEMI - SS+    625    cc;1
241;7890000002417;SAMPLE ROUND FULL    FULL - SS    145    cc;1
242;7890000002424;SAMPLE ROUND FULL    FULL - SS+    145    cc;1
243;7890000002431;SAMPLE ROUND FULL    FULL - SS    175    cc;1
244;7890000002448;SAMPLE ROUND FULL    FULL - SS+    175    cc;1
245;7890000002455;SAMPLE ROUND FULL    FULL - SS    205    cc;1
246;7890000002462;SAMPLE ROUND FULL    FULL - SS+    205    cc;1
247;7890000002479;SAMPLE ROUND FULL    FULL - SS    220    cc;1
248;7890000002486;SAMPLE ROUND FULL    FULL - SS+    220    cc;1
249;7890000002493;SAMPLE ROUND FULL    FULL - SS    235    cc;1
250;7890000002509;SAMPLE ROUND FULL    FULL - SS+    235    cc;1
251;7890000002516;SAMPLE ROUND FULL    FULL - SS    255    cc;1
252;7890000002523;SAMPLE ROUND FULL    FULL - SS+    255    cc;1
253;7890000002530;SAMPLE ROUND FULL    FULL - SS    275    cc;1
254;7890000002547;SAMPLE ROUND FULL    FULL - SS+    275    cc;1
255;7890000002554;SAMPLE ROUND FULL    FULL - SS    295    cc;1
256;7890000002561;SAMPLE ROUND FULL    FULL - SS+    295    cc;1
257;7890000002578;SAMPLE ROUND FULL    FULL - SS    315    cc;1
258;7890000002585;SAMPLE ROUND FULL    FULL - SS+    315    cc;1
259;7890000002592;SAMPLE ROUND FULL    FULL - SS    335    cc;1
260;7890000002608;SAMPLE ROUND FULL    FULL - SS+    335    cc;1
261;7890000002615;SAMPLE ROUND FULL    FULL - SS    355    cc;1
262;7890000002622;SAMPLE ROUND FULL    FULL - SS+    355    cc;1
263;7890000002639;SAMPLE ROUND FULL    FULL - SS    375    cc;1
264;7890000002646;SAMPLE ROUND FULL    FULL - SS+    375    cc;1
265;7890000002653;SAMPLE ROUND FULL    FULL - SS    400    cc;1
266;7890000002660;SAMPLE ROUND FULL    FULL - SS+    400    cc;1
267;7890000002677;SAMPLE ROUND FULL    FULL - SS    425    cc;1
268;7890000002684;SAMPLE ROUND FULL    FULL - SS+    425    cc;1
269;7890000002691;SAMPLE ROUND FULL    FULL - SS    450    cc;1
270;7890000002707;SAMPLE ROUND FULL    FULL - SS+    450    cc;1
271;7890000002714;SAMPLE ROUND FULL    FULL - SS    500    cc;1
272;7890000002721;SAMPLE ROUND FULL    FULL - SS+    500    cc;1
273;7890000002738;SAMPLE ROUND FULL    FULL - SS    550    cc;1
274;7890000002745;SAMPLE ROUND FULL    FULL - SS+    550    cc;1
275;7890000002752;SAMPLE ROUND FULL    FULL - SS    625    cc;1
276;7890000002769;SAMPLE ROUND FULL    FULL - SS+    625    cc;1
277;7890000002776;SAMPLE ROUND FULL    FULL - SS    700    cc;1
278;7890000002783;SAMPLE ROUND FULL    FULL - SS+    700    cc;1
279;7890000002790;SAMPLE ROUND FULL    FULL - SS    775    cc;1
280;7890000002806;SAMPLE ROUND FULL    FULL - SS+    775    cc;1
281;7890000002813;SAMPLE ROUND MINI    MINI - SS    105    cc;1
282;7890000002820;SAMPLE ROUND MINI    MINI - SS+    105    cc;1
283;7890000002837;SAMPLE ROUND MINI    MINI - SS    125    cc;1
284;7890000002844;SAMPLE ROUND MINI    MINI - SS+    125    cc;1
285;7890000002851;SAMPLE ROUND MINI    MINI - SS    140    cc;1
286;7890000002868;SAMPLE ROUND MINI    MINI - SS+    140    cc;1
287;7890000002875;SAMPLE ROUND MINI    MINI - SS    150    cc;1
288;7890000002882;SAMPLE ROUND MINI    MINI - SS+    150    cc;1
289;7890000002899;SAMPLE ROUND MINI    MINI - SS    160    cc;1
290;7890000002905;SAMPLE ROUND MINI    MINI - SS+    160    cc;1
291;7890000002912;SAMPLE ROUND MINI    MINI - SS    170    cc;1
292;7890000002929;SAMPLE ROUND MINI    MINI - SS+    170    cc;1
293;7890000002936;SAMPLE ROUND MINI    MINI - SS    185    cc;1
294;7890000002943;SAMPLE ROUND MINI    MINI - SS+    185    cc;1
295;7890000002950;SAMPLE ROUND MINI    MINI - SS    205    cc;1
296;7890000002967;SAMPLE ROUND MINI    MINI - SS+    205    cc;1
297;7890000002974;SAMPLE ROUND MINI    MINI - SS    220    cc;1
298;7890000002981;SAMPLE ROUND MINI    MINI - SS+    220    cc;1
299;7890000002998;SAMPLE ROUND MINI    MINI - SS    230    cc;1
300;7890000003001;SAMPLE ROUND MINI    MINI - SS+    230    cc;1
301;7890000003018;SAMPLE ROUND MINI    MINI - SS    245    cc;1
302;7890000003025;SAMPLE ROUND MINI    MINI - SS+    245    cc;1
